"Series Description","Debt service ratio, seasonally adjusted","Mortgage debt service ratio, seasonally adjusted","Consumer debt service ratio, seasonally adjusted"
"Unit:","Percent","Percent","Percent"
"Multiplier:","1","1","1"
"Currency:","NA","NA","NA"
"Unique Identifier:","DSR/DSR/DSR_RATIO","DSR/DSR/MORTGAGE_DSR_RATIO","DSR/DSR/CONSUMER_DSR_RATIO"
"Time Period","DSR_RATIO","MORTGAGE_DSR_RATIO","CONSUMER_DSR_RATIO"
2020Q4,10.389279,5.399922,4.989358
2021Q1,9.051398,4.761378,4.290020
2021Q2,9.840936,5.199057,4.641879
2021Q3,10.009535,5.293414,4.716121
2021Q4,10.228733,5.429527,4.799206
2022Q1,10.472320,5.628293,4.844027
2022Q2,10.684637,5.693040,4.991597
2022Q3,10.567735,5.578758,4.988977
2022Q4,10.736833,5.623595,5.113237
2023Q1,10.563990,5.578404,4.985586
2023Q2,10.576866,5.540141,5.036725
2023Q3,10.747704,5.616197,5.131506
2023Q4,11.095984,5.635992,5.459991
2024Q1,11.058721,5.662509,5.396212
2024Q2,11.019084,5.700892,5.318192
2024Q3,11.138535,5.744213,5.394322
2024Q4,11.122250,5.689461,5.432789
2025Q1,11.105310,5.761894,5.343416
2025Q2,11.123837,5.825999,5.297838
2025Q3,11.256338,5.888030,5.368309
