STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,BDI,Burundi,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-03,2565868.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,CAF,Central African Republic,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-02,1110028.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,GTM,Guatemala,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-07,470000.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,HTI,Haiti,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-02,2347103.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,SWZ,Eswatini,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-07,137380.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,HTI,Haiti,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-10,1321776.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,MDG,Madagascar,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-06,1067548.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,MDG,Madagascar,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-10,1289171.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,LSO,Lesotho,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-07,179042.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,MWI,Malawi,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-07,421000.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,AFG,Afghanistan,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-05,762742.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,AFG,Afghanistan,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-09,7605812.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,BDI,Burundi,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-07,1764908.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,TZA,Tanzania,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-07,119069.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,PAK,Pakistan,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-05,2726822.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,UGA,Uganda,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-01,1600667.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,UGA,Uganda,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-11,440821.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,SSD,South Sudan,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-05,5530000.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,SLV,El Salvador,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2017-11,,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,M,Monthly,CAF,Central African Republic,IPC_IPC_P3PLUS,People in Phase 3 food insecurity or above,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,IPC_IPC_CURRENT,Analysis Period Classification : Current Measurement,_Z,Not Applicable,_Z,Not Applicable,2018-03,1635140.0,IPC_IPC,Integrated Food Security Phase Classification,0,Units,COUNT,Count (Integer),610,CCYYMM,A,Normal value,PU,Public
